,Home,Away,W_PCT,REB,TOV,PLUS_MINUS,OFF_RATING,DEF_RATING,TS_PCT,Result,Date
881,Dallas Mavericks,Los Angeles Lakers,0.5035153677922378,0.901085318068377,-1.5161063338986838,0.8721949287357142,0.28695120960894105,-1.5387655247561098,-0.4788860233182415,1,04/22/2021
882,Golden State Warriors,Denver Nuggets,1.4458084132319953,1.070038815206196,1.2485581573283273,1.4198522095697674,0.26086473600812954,-2.6500961815244164,0.4788860233182415,1,04/23/2021
883,Brooklyn Nets,Boston Celtics,1.0286099656327137,-0.3942248266549162,-0.0891827255234533,0.18255242694468438,0.7043347872219504,0.6411523019817136,1.0109816047829483,1,04/23/2021
884,Houston Rockets,LA Clippers,-1.4673876432802342,-1.070038815206196,1.8728372359924939,-1.4807030185513288,0.28695120960894105,3.590452891097592,0.6917242559041266,0,04/23/2021
885,Portland Trail Blazers,Memphis Grizzlies,-1.884586090879517,-2.309031127550215,0.3567309020938084,-1.6024046365144518,-0.3391241568105676,2.906557102317106,0.8513529303435405,0,04/23/2021
886,Atlanta Hawks,Miami Heat,-1.6040561002524132,-0.45054265903419055,-2.140385412562849,-1.2372997826250833,0.07825942080243811,2.6073526947256322,-0.37246690702529894,1,04/23/2021
887,Charlotte Hornets,Cleveland Cavaliers,-0.4028122942337894,-2.027441965653847,-2.140385412562847,-1.1764489736435217,0.5478159456170706,3.376735457103688,-0.05320955814647127,1,04/23/2021
888,Oklahoma City Thunder,Washington Wizards,-1.2875607262115785,0.9574031504476512,0.0,-1.014180149692691,-1.8260531520569068,-0.769382762378061,-2.4476396747376725,0,04/23/2021
889,New York Knicks,Toronto Raptors,-0.09350999687570132,0.2815891618963675,0.6242790786641651,-0.22311963293239206,-0.4695565248146324,-0.12823046039634145,0.7449338140505979,1,04/24/2021
890,Miami Heat,Chicago Bulls,-0.2229853771651339,1.7458528037574799,1.4269236083752321,0.40567205987707655,-0.026086473600811455,-0.8976132227743965,-0.2128382325858851,1,04/24/2021
891,Milwaukee Bucks,Philadelphia 76ers,0.03596538341373123,1.971124133274573,0.981009980757972,0.36510485388936875,0.10434589440325329,-0.42743486798780905,0.0,1,04/24/2021
892,Utah Jazz,Minnesota Timberwolves,1.3738776464045337,1.0137209828269218,-0.44591362761726006,1.4198522095697674,1.9303990464601561,0.21371743399390453,2.6072683491770867,0,04/24/2021
893,Indiana Pacers,Detroit Pistons,0.7552730516883559,1.1826744799647444,-0.7134618041876153,1.7443898574714285,2.0347449408634097,-0.17097394719512,1.8091249769800233,1,04/24/2021
894,Dallas Mavericks,Los Angeles Lakers,0.5035153677922378,0.901085318068377,-1.5161063338986838,0.8721949287357142,0.28695120960894105,-1.5387655247561098,-0.4788860233182415,1,04/24/2021
895,Denver Nuggets,Houston Rockets,1.8989722442450097,1.238992312344019,-2.2295681380863006,2.0892111083669436,0.9391130496292684,-2.6928396683231957,0.4788860233182356,1,04/24/2021
896,New Orleans Pelicans,San Antonio Spurs,0.0,0.8447674856891028,1.6944717849455888,-0.8113441197541528,-0.4173835776130058,0.854869735975618,-0.2660477907323562,0,04/24/2021
897,Golden State Warriors,Sacramento Kings,2.4312599187682316,1.2389923123440187,1.4269236083752321,2.5557339772255814,0.46955652481463617,-4.5308096006707785,1.330238953661776,1,04/25/2021
898,Brooklyn Nets,Phoenix Suns,-0.9854515055362361,-0.056317832379274346,0.2675481765703551,-0.9533293407111297,0.07825942080243813,2.051687366341482,0.15962867443941384,1,04/25/2021
899,Orlando Magic,Indiana Pacers,-1.2012438060186232,-0.3942248266549162,0.5350963531407118,-1.6632554454960131,-1.6173613632504038,0.769382762378055,-1.330238953661782,0,04/25/2021
900,Portland Trail Blazers,Memphis Grizzlies,-1.884586090879517,-2.309031127550215,0.3567309020938084,-1.6024046365144518,-0.3391241568105676,2.906557102317106,0.8513529303435405,0,04/25/2021
901,Atlanta Hawks,Milwaukee Bucks,-1.4026499531355179,-0.8447674856891028,-1.4269236083752321,-1.1155981646619602,0.3391241568105676,2.735583155121974,0.0,1,04/25/2021
902,Charlotte Hornets,Boston Celtics,0.2517576838961189,-1.8584884685160283,-1.3377408828517803,-0.4665228688586379,0.9130265760284533,2.3508917739329496,0.5853051396111781,1,04/25/2021
903,Washington Wizards,Cleveland Cavaliers,-0.5682530579369532,-0.9574031504476512,-1.516106333898684,-1.4604194155574752,-0.2869512096089447,2.5646092079268543,-0.21283823258588508,1,04/25/2021
904,Philadelphia 76ers,Oklahoma City Thunder,1.8845860908795167,-1.7458528037574796,-0.44591362761726017,1.8458078724406977,2.2695232032707278,-0.2992044075914615,2.660477907323558,1,04/26/2021
905,New York Knicks,Phoenix Suns,-1.9277445509759945,0.8447674856891025,-0.0891827255234517,-1.480703018551329,-0.6260753664195123,2.2654048003353866,-1.170610279222362,0,04/26/2021
906,Orlando Magic,Los Angeles Lakers,-2.201081464920352,0.28158916189636757,0.44591362761726017,-1.5415538275328902,-1.3825831008430893,0.8976132227744026,-1.7559154188335524,0,04/26/2021
907,Miami Heat,Chicago Bulls,-0.2229853771651339,1.7458528037574799,1.4269236083752321,0.40567205987707655,-0.026086473600811455,-0.8976132227743965,-0.2128382325858851,0,04/26/2021
908,Detroit Pistons,Atlanta Hawks,-1.1580853459221463,-1.3516279771025634,2.4079335891332043,-1.6024046365144518,-2.8695120960894247,-1.282304603963427,-2.500849232884144,1,04/26/2021
909,Sacramento Kings,Dallas Mavericks,-1.1365061158739074,-0.6758139885512837,1.1593754318048755,-1.3590014005882058,-0.10434589440325337,2.7355831551219802,0.0,1,04/26/2021
910,Denver Nuggets,Memphis Grizzlies,-0.9350999687570122,-2.027441965653847,0.8026445297110686,-0.4056720598770765,-0.4434700512138172,0.17097394719512593,1.2238198373688336,1,04/26/2021
911,Minnesota Timberwolves,Utah Jazz,-1.3738776464045337,-1.0137209828269218,0.44591362761726006,-1.4198522095697674,-1.9303990464601561,-0.21371743399390453,-2.6072683491770867,1,04/26/2021
912,Washington Wizards,San Antonio Spurs,1.0070307355844748,-0.3942248266549162,0.5350963531407118,-0.3245376479016612,-0.052172947201626685,0.512921841585372,0.9577720466364772,0,04/26/2021
913,Toronto Raptors,Cleveland Cavaliers,-0.4747430610612519,0.056317832379274346,-1.8728372359924923,-0.8316277227480068,0.1043458944032496,2.0089438795426977,-1.7027058606870749,1,04/26/2021
914,New Orleans Pelicans,LA Clippers,-0.7552730516883559,1.5205814742403865,0.0891827255234533,-0.6287916928094683,0.6521618400203237,2.2654048003353866,-0.37246690702529883,1,04/26/2021
915,Golden State Warriors,Dallas Mavericks,1.294753802894324,0.563178323792735,2.5862990401801076,1.1967325766373755,0.3652106304113828,-1.7952264455487987,1.330238953661776,0,04/27/2021
916,Boston Celtics,Oklahoma City Thunder,1.2012438060186232,-0.16895349713781882,0.7134618041876168,1.7646734604652823,1.7477937312544687,-0.7693827623780551,2.0219632095659086,0,04/27/2021
917,Houston Rockets,Minnesota Timberwolves,-1.460194566597488,-1.5205814742403865,1.5161063338986855,-1.8660914754345514,-0.6782483136211389,2.821070128719537,0.7449338140505979,0,04/27/2021
918,Indiana Pacers,Portland Trail Blazers,-0.4028122942337903,0.5631783237927351,0.5350963531407119,0.669358898797176,-0.26086473600812954,-1.9234569059451405,-0.42567646517177027,0,04/27/2021
919,Charlotte Hornets,Milwaukee Bucks,-0.4675499843785057,-2.2527132951709405,-1.1593754318048755,-0.9127621347234219,0.286951209608941,2.308148287134165,-0.05320955814647127,0,04/27/2021
920,Toronto Raptors,Brooklyn Nets,-0.8487830485640573,0.6194961561720094,-0.981009980757972,-0.3042540449078073,-0.23477826240731808,0.341947894390246,-2.075172767712374,0,04/27/2021
921,Philadelphia 76ers,Atlanta Hawks,1.3666845697217869,-1.1263566475854703,0.44591362761726006,0.7504933107725915,-0.44347005121382094,-2.308148287134165,0.0,1,04/28/2021
922,New York Knicks,Chicago Bulls,-1.0573822723636985,2.2527132951709405,0.44591362761726017,-0.5070900748463455,-0.9130265760284533,-0.21371743399390453,-1.543077186247661,1,04/28/2021
923,Phoenix Suns,LA Clippers,2.1795022348721136,0.7321318209305581,-0.7134618041876153,1.7443898574714287,1.5651884160487772,-1.025843683170744,1.2770293955153047,1,04/28/2021
924,Boston Celtics,Charlotte Hornets,-0.2517576838961189,1.8584884685160283,1.3377408828517803,0.4665228688586379,-0.9130265760284533,-2.3508917739329496,-0.5853051396111781,1,04/28/2021
925,Cleveland Cavaliers,Orlando Magic,2.941968363243215,1.1826744799647444,0.1783654510469035,2.9005552281210965,1.8521396256577218,-3.1202745363110047,2.021963209565903,0,04/28/2021
926,Miami Heat,San Antonio Spurs,1.8414276307830395,0.3942248266549162,1.7836545104690404,0.9938965466988374,0.7565077344235771,-0.854869735975618,1.5430771862476613,1,04/28/2021
927,Sacramento Kings,Utah Jazz,-1.9205514742932484,-1.4642636418611121,-0.4459136276172601,-2.3326143442931895,-1.8782260992585333,1.795226445548799,-2.2348014421517877,0,04/28/2021
928,Denver Nuggets,New Orleans Pelicans,1.1868576526531311,-1.3516279771025637,-0.44591362761726017,1.2372997826250831,0.5739024192178858,-1.3677915775609901,1.543077186247661,1,04/28/2021
929,Washington Wizards,Los Angeles Lakers,0.17263384038591012,0.5068604914134608,-0.8918272552345202,-0.10141801496926911,0.18260531520568768,0.3419478943902521,0.05320955814646533,1,04/28/2021
930,Memphis Grizzlies,Portland Trail Blazers,1.884586090879517,2.309031127550215,-0.3567309020938084,1.6024046365144518,0.3391241568105676,-2.906557102317106,-0.8513529303435405,0,04/28/2021
931,Houston Rockets,Milwaukee Bucks,-2.3521360752580227,-2.5343024570673083,2.4079335891332057,-2.5354503742317274,-1.2782372064398362,3.163018023109783,-0.37246690702529306,1,04/29/2021
932,Detroit Pistons,Dallas Mavericks,-2.2586260783823224,-1.4079458094818378,2.140385412562847,-2.49488316824402,-2.0869178880650363,1.8379699323475776,-1.7559154188335522,0,04/29/2021
